B2X0	('Income', 'Tax', 'Cash', 'Products', 'Data', 'Accelerated Computing', 'Data Center', 'Non-GAAP')
B701X0	('Non-GAAP',)
B702X0	('Non-GAAP',)
B703X0	('Non-GAAP',)
B704X0	('Non-GAAP',)
B705X0	('Non-GAAP',)
B706X0	('Non-GAAP',)
B707X0	('Non-GAAP',)
B708X0	('Non-GAAP', 'Stock')
B709X0	('Non-GAAP',)
B710X0	('Non-GAAP',)
B711X0	('Non-GAAP',)
B712X0	('Non-GAAP', 'Stock')
B713X0	('Non-GAAP',)
B714X0	('Non-GAAP',)
B715X0	('Non-GAAP',)
A2X0	('Non-GAAP',)
A4X0	('Revenue', 'Data', 'Accelerated Computing', 'Data Center')
A5X0	('Income', 'Cash', 'Revenue', 'Non-GAAP')
A6X0	('Data', 'Data Center', 'Revenue')
A7X0	('Revenue',)
A8X0	('Revenue', 'Data')
A9X0	('Revenue',)
A10X0	('Cash', 'Stock', 'Revenue', 'Securities')
A11X0	('Income', 'Tax', 'Revenue', 'Data', 'Data Center', 'Non-GAAP')
A13X0	('Data',)
A14X0	('Data',)
A15X0	('Data',)
A16X0	('Data', 'Data Center')
A17X0	('Accelerated Computing', 'Data', 'Data Center')
A19X0	('Data', 'Data Center')
A20X0	('Management', 'Accelerated Computing')
A21X0	('Data', 'Accelerated Computing')
A23X0	('Data',)
A24X0	('Products', 'Data')
A25X0	('Data', 'Assests')
A26X0	('Accelerated Computing',)
A29X0	('Accelerated Computing',)
A30X0	('Accelerated Computing',)
A31X0	('Accelerated Computing', 'Data', 'Data Center')
A32X0	('Accelerated Computing',)
A33X0	('Accelerated Computing',)
A34X0	('Data', 'Data Center', 'Accelerated Computing')
A35X0	('Data', 'Data Center')
A36X0	('Data', 'Data Center')
A37X0	('Products', 'Data')
A38X0	('Data',)
A42X0	('Income', 'Revenue', 'Data', 'Data Center', 'Non-GAAP')
A43X0	('Data', 'Accelerated Computing', 'Data Center', 'Non-GAAP')
A44X0	('Cash', 'Stock', 'Directors', 'Non-GAAP')
A45X0	('Revenue', 'Data', 'Data Center')
A46X0	('Data', 'Data Center', 'Revenue')
A47X0	('Data', 'Data Center', 'Accelerated Computing')
A48X0	('Revenue',)
A49X0	('Revenue',)
A50X0	('Revenue',)
A51X0	('Revenue',)
A54X0	('Cash', 'Income', 'Securities', 'Non-GAAP')
A55X0	('Directors', 'Data', 'Management', 'Data Center')
A57X0	('Non-GAAP', 'Stock', 'Income', 'Tax', 'Assests')
A58X0	('Non-GAAP', 'Stock', 'Assests')
A59X0	('Non-GAAP', 'Stock', 'Assests')
A60X0	('Non-GAAP', 'Stock', 'Income', 'Assests')
A61X0	('Non-GAAP', 'Cash', 'Assests')
A62X0	('Non-GAAP', 'Stock')
B16X1	('Products', 'Data', 'Data Center')
B33X1	('Revenue',)
B37X1	('Tax', 'Cash', 'Data', 'Accelerated Computing', 'Data Center')
B48X1	('Revenue',)
B55X1	('Products',)
B56X1	('Data', 'Accelerated Computing')
B63X1	('Products', 'Data', 'Data Center')
B72X1	('Stock', 'Data')
B74X1	('Data', 'Data Center')
B80X1	('Products',)
B84X1	('Products', 'Data', 'Securities', 'Accelerated Computing', 'Data Center')
B85X1	('Stock',)
B87X1	('Directors',)
B90X1	('Stock', 'Common Stock')
B91X1	('Equity',)
B92X1	('Stock',)
B94X1	('Stock', 'Directors')
B108X1	('Directors',)
